2021-04-05 15:32:00:1415 | test_01_register line:31 test_register |INFO | 开始执行测试案例：未注册的用户名（6位长度用户名与密码）与邮箱注册_注册成功
2021-04-05 15:36:06:4495 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'FFFaDQ', 'email': 'qpan@hotmail.com', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:36:06:4804 | basi_api line:23 send_http |INFO | 响应结果：{'email': ['此邮箱已注册']}
2021-04-05 15:36:06:4814 | test_01_register line:55 test_register |INFO | 已注册的邮箱_注册失败 测试案例执行通过！

2021-04-05 15:36:06:4873 | test_01_register line:31 test_register |INFO | 开始执行测试案例：不符合标准格式的邮箱注册_注册失败
2021-04-05 15:36:06:5831 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'nZDjES', 'email': '84351224qq.com', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:36:06:6120 | basi_api line:23 send_http |INFO | 响应结果：{'email': ['请输入合法的邮件地址。']}
2021-04-05 15:36:06:6130 | test_01_register line:55 test_register |INFO | 不符合标准格式的邮箱注册_注册失败 测试案例执行通过！

2021-04-05 15:36:06:6180 | test_01_register line:31 test_register |INFO | 开始执行测试案例：邮箱为空_注册失败
2021-04-05 15:36:06:8045 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'EianZR', 'email': '', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:36:06:9521 | basi_api line:23 send_http |INFO | 响应结果：{'id': 471, 'username': 'EianZR', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo0NzEsInVzZXJuYW1lIjoiRWlhblpSIiwiZXhwIjoxNjE3Njk0NTQ5LCJlbWFpbCI6IiJ9.il6npm6e56DNfFhW5KKvRN00RZRRwJOG2kqUZaj-6Hs'}
2021-04-05 15:36:06:9531 | handle_assert line:20 eq |ERROR | eq断言失败，预期结果：400，实际结果：201
2021-04-05 15:36:06:9531 | handle_assert line:21 eq |ERROR | 用例失败！

2021-04-05 15:36:07:0020 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码长度<6位_注册失败
2021-04-05 15:36:07:1735 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'oZISFR', 'email': 'yuanchao@juanlei.cn', 'password': '12345', 'password_confirm': '12345'}}
2021-04-05 15:36:07:2084 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['仅允许6-20个字符的密码'], 'password_confirm': ['仅允许6~20个字符的确认密码']}
2021-04-05 15:36:07:2084 | test_01_register line:55 test_register |INFO | 密码长度<6位_注册失败 测试案例执行通过！

2021-04-05 15:36:07:2134 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码长度>20位_注册失败
2021-04-05 15:36:07:3690 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'iufSLI', 'email': 'kxiong@gmail.com', 'password': '123451234512345123456', 'password_confirm': '123451234512345123456'}}
2021-04-05 15:36:07:3969 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['仅允许6-20个字符的密码'], 'password_confirm': ['仅允许6~20个字符的确认密码']}
2021-04-05 15:36:07:3979 | test_01_register line:55 test_register |INFO | 密码长度>20位_注册失败 测试案例执行通过！

2021-04-05 15:36:07:4019 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码与确认密码不一致_注册失败
2021-04-05 15:36:07:4986 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'KuNiLb', 'email': 'lei75@wei.net', 'password': '123456', 'password_confirm': '1234567'}}
2021-04-05 15:36:07:5305 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['两次输入密码不正确']}
2021-04-05 15:36:07:5315 | test_01_register line:55 test_register |INFO | 密码与确认密码不一致_注册失败 测试案例执行通过！

2021-04-05 15:36:07:5365 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码为空_注册失败
2021-04-05 15:36:07:7739 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'HRMqWE', 'email': 'zhengguiying@yahoo.com', 'password': '', 'password_confirm': '123456'}}
2021-04-05 15:36:07:8128 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['该字段不能为空。']}
2021-04-05 15:36:07:8138 | test_01_register line:55 test_register |INFO | 密码为空_注册失败 测试案例执行通过！

2021-04-05 15:36:07:8188 | test_01_register line:31 test_register |INFO | 开始执行测试案例：确认密码为空_注册失败
2021-04-05 15:36:07:9654 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'PfQZfB', 'email': 'mcheng@07.cn', 'password': '123456', 'password_confirm': ''}}
2021-04-05 15:36:08:0003 | basi_api line:23 send_http |INFO | 响应结果：{'password_confirm': ['该字段不能为空。']}
2021-04-05 15:36:08:0003 | test_01_register line:55 test_register |INFO | 确认密码为空_注册失败 测试案例执行通过！

2021-04-05 15:36:08:0561 | test_02_check_username_register line:32 test_check_username_register |INFO | 开始执行测试案例：判断已注册的用户名_已注册
2021-04-05 15:36:08:1429 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/EianZR/count/', 'method': 'GET'}
2021-04-05 15:36:08:1998 | basi_api line:23 send_http |INFO | 响应结果：{'username': 'EianZR', 'count': 1}
2021-04-05 15:36:08:2267 | test_02_check_username_register line:53 test_check_username_register |INFO | 判断已注册的用户名_已注册 测试案例执行通过！

2021-04-05 15:36:08:2317 | test_02_check_username_register line:32 test_check_username_register |INFO | 开始执行测试案例：判断未注册的用户名_未注册
2021-04-05 15:36:08:3344 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/fivXdR/count/', 'method': 'GET'}
2021-04-05 15:36:08:3623 | basi_api line:23 send_http |INFO | 响应结果：{'username': 'fivXdR', 'count': 0}
2021-04-05 15:36:08:3863 | test_02_check_username_register line:53 test_check_username_register |INFO | 判断未注册的用户名_未注册 测试案例执行通过！

2021-04-05 15:36:08:4461 | test_03_check_email_register line:32 test_check_email_register |INFO | 开始执行测试案例：判断已注册的邮箱_已注册
2021-04-05 15:36:08:5937 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/qpan@hotmail.com/count/', 'method': 'GET'}
2021-04-05 15:36:08:6256 | basi_api line:23 send_http |INFO | 响应结果：{'email': 'qpan@hotmail.com', 'count': 1}
2021-04-05 15:36:08:6885 | test_03_check_email_register line:53 test_check_email_register |INFO | 判断已注册的邮箱_已注册 测试案例执行通过！

2021-04-05 15:36:08:6944 | test_03_check_email_register line:32 test_check_email_register |INFO | 开始执行测试案例：判断未注册的邮箱_未注册
2021-04-05 15:36:08:7852 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/tpeng@yahoo.com/count/', 'method': 'GET'}
2021-04-05 15:36:08:8211 | basi_api line:23 send_http |INFO | 响应结果：{'email': 'tpeng@yahoo.com', 'count': 0}
2021-04-05 15:36:08:8490 | test_03_check_email_register line:53 test_check_email_register |INFO | 判断未注册的邮箱_未注册 测试案例执行通过！

2021-04-05 15:36:08:8560 | test_04_login line:31 test_login |INFO | 开始执行测试案例：已注册的用户名登录_登录成功
2021-04-05 15:36:08:9308 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:09:0794 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTEsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.t2_0BldWjbqRWgCGfbA_TQGbk_dCcLJnaXIvGidCMiI', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:09:0804 | test_04_login line:48 test_login |INFO | 已注册的用户名登录_登录成功 测试案例执行通过！

2021-04-05 15:36:09:0854 | test_04_login line:31 test_login |INFO | 开始执行测试案例：未注册的用户名登录_登录失败
2021-04-05 15:36:09:1891 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'PPOedG', 'password': '123456'}}
2021-04-05 15:36:09:3407 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['无法使用提供的认证信息登录。']}
2021-04-05 15:36:09:3417 | test_04_login line:48 test_login |INFO | 未注册的用户名登录_登录失败 测试案例执行通过！

2021-04-05 15:36:09:3467 | test_04_login line:31 test_login |INFO | 开始执行测试案例：密码错误_登录失败
2021-04-05 15:36:09:4295 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '1234567'}}
2021-04-05 15:36:09:5731 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['无法使用提供的认证信息登录。']}
2021-04-05 15:36:09:5741 | test_04_login line:48 test_login |INFO | 密码错误_登录失败 测试案例执行通过！

2021-04-05 15:36:09:5791 | test_04_login line:31 test_login |INFO | 开始执行测试案例：用户名为空_登录失败
2021-04-05 15:36:09:7217 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': '', 'password': '1234567'}}
2021-04-05 15:36:09:7536 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['该字段不能为空。']}
2021-04-05 15:36:09:7536 | test_04_login line:48 test_login |INFO | 用户名为空_登录失败 测试案例执行通过！

2021-04-05 15:36:09:7666 | test_04_login line:31 test_login |INFO | 开始执行测试案例：密码为空_登录失败
2021-04-05 15:36:09:8514 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': ''}}
2021-04-05 15:36:09:8892 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['该字段不能为空。']}
2021-04-05 15:36:09:8902 | test_04_login line:48 test_login |INFO | 密码为空_登录失败 测试案例执行通过！

2021-04-05 15:36:09:9620 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:10:1176 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTIsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.xgWnOfqt1LxB0dsa398E9oaaIFaRHU55ZDtd2YC6514', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:10:1186 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：所有参数均正确创建项目_创建项目成功
2021-04-05 15:36:10:2622 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTIsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.xgWnOfqt1LxB0dsa398E9oaaIFaRHU55ZDtd2YC6514'}, 'json': {'name': 'GIydT', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'd', 'desc': 'e'}}
2021-04-05 15:36:10:4019 | basi_api line:23 send_http |INFO | 响应结果：{'id': 820, 'create_time': '2021-04-05T15:35:53.096029+08:00', 'name': 'GIydT', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'd', 'desc': 'e'}
2021-04-05 15:36:10:4348 | test_05_projects line:57 test_add_project |INFO | 所有参数均正确创建项目_创建项目成功 测试案例执行通过！

2021-04-05 15:36:10:4408 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:10:5904 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:10:5914 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：必填参数均正确创建项目_创建项目成功
2021-04-05 15:36:10:7340 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM'}, 'json': {'name': 'mXsAGdaizFzYRsELyuvmJYFtOyZyTYORJwgUQXWdWdAbcDgpxZvZiGZxigYyPunmOAGcNdjgrTTALmILDEbytkCKKRCTURUiUsFOuPylqScSaivqWKkhoOKevLVmBVfXYHhimRZvkBdDGpZZvGkFPllOSYJqclFiZUSceCrWhGmcpsZDtXPvcublgqDemtRTYeZVZkeF', 'leader': 'OwUmghTkTIvMmAPwLplXWcXvqzxGzVXyjQnROsXzHatbvGhLnj', 'tester': 'apFsEzirWpVHgYhjgiLJcIVSIFJRudkZDEApEmIJyBcxumxoXc', 'programmer': 'JckVUSZQIgBOCClzZraxkJmfYkePZrwXZjTfDgdzTmNNxTcSuE', 'publish_app': 'RRrfuQjJIiPrKUUCJHxQHYaxXiBHXnuvUfCupnpFXsByhpQRLCnCOsRDPsVCoqWVCYWjldzQZbOztruhGzYHgqSYfJYNNyuROSod'}}
2021-04-05 15:36:10:7719 | basi_api line:23 send_http |INFO | 响应结果：{'id': 821, 'create_time': '2021-04-05T15:35:53.464757+08:00', 'name': 'mXsAGdaizFzYRsELyuvmJYFtOyZyTYORJwgUQXWdWdAbcDgpxZvZiGZxigYyPunmOAGcNdjgrTTALmILDEbytkCKKRCTURUiUsFOuPylqScSaivqWKkhoOKevLVmBVfXYHhimRZvkBdDGpZZvGkFPllOSYJqclFiZUSceCrWhGmcpsZDtXPvcublgqDemtRTYeZVZkeF', 'leader': 'OwUmghTkTIvMmAPwLplXWcXvqzxGzVXyjQnROsXzHatbvGhLnj', 'tester': 'apFsEzirWpVHgYhjgiLJcIVSIFJRudkZDEApEmIJyBcxumxoXc', 'programmer': 'JckVUSZQIgBOCClzZraxkJmfYkePZrwXZjTfDgdzTmNNxTcSuE', 'publish_app': 'RRrfuQjJIiPrKUUCJHxQHYaxXiBHXnuvUfCupnpFXsByhpQRLCnCOsRDPsVCoqWVCYWjldzQZbOztruhGzYHgqSYfJYNNyuROSod', 'desc': ''}
2021-04-05 15:36:10:7719 | handle_assert line:20 eq |ERROR | eq断言失败，预期结果：{'name': 'mXsAGdaizFzYRsELyuvmJYFtOyZyTYORJwgUQXWdWdAbcDgpxZvZiGZxigYyPunmOAGcNdjgrTTALmILDEbytkCKKRCTURUiUsFOuPylqScSaivqWKkhoOKevLVmBVfXYHhimRZvkBdDGpZZvGkFPllOSYJqclFiZUSceCrWhGmcpsZDtXPvcublgqDemtRTYeZVZkeF', 'leader': 'OwUmghTkTIvMmAPwLplXWcXvqzxGzVXyjQnROsXzHatbvGhLnj', 'tester': 'apFsEzirWpVHgYhjgiLJcIVSIFJRudkZDEApEmIJyBcxumxoXc', 'programmer': 'JckVUSZQIgBOCClzZraxkJmfYkePZrwXZjTfDgdzTmNNxTcSuE', 'publish_app': 'RRrfuQjJIiPrKUUCJHxQHYaxXiBHXnuvUfCupnpFXsByhpQRLCnCOsRDPsVCoqWVCYWjldzQZbOztruhGzYHgqSYfJYNNyuROSod'}，实际结果：{'name': 'mXsAGdaizFzYRsELyuvmJYFtOyZyTYORJwgUQXWdWdAbcDgpxZvZiGZxigYyPunmOAGcNdjgrTTALmILDEbytkCKKRCTURUiUsFOuPylqScSaivqWKkhoOKevLVmBVfXYHhimRZvkBdDGpZZvGkFPllOSYJqclFiZUSceCrWhGmcpsZDtXPvcublgqDemtRTYeZVZkeF', 'leader': 'OwUmghTkTIvMmAPwLplXWcXvqzxGzVXyjQnROsXzHatbvGhLnj', 'tester': 'apFsEzirWpVHgYhjgiLJcIVSIFJRudkZDEApEmIJyBcxumxoXc', 'programmer': 'JckVUSZQIgBOCClzZraxkJmfYkePZrwXZjTfDgdzTmNNxTcSuE', 'publish_app': 'RRrfuQjJIiPrKUUCJHxQHYaxXiBHXnuvUfCupnpFXsByhpQRLCnCOsRDPsVCoqWVCYWjldzQZbOztruhGzYHgqSYfJYNNyuROSod', 'desc': ''}
2021-04-05 15:36:10:7729 | handle_assert line:21 eq |ERROR | 用例失败！

2021-04-05 15:36:10:7858 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:10:9255 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:10:9275 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：简要描述为空_创建项目成功
2021-04-05 15:36:11:0242 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM'}, 'json': {'name': 'mebqU', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'xdRIUMDGjzHxDXuXTrqkUccSAFmNjwaldmpabFNDYxiDbeggGBZwknQPNkdTjhpXwPGUQjdtJRVXhRTUDlrJGYkDxIVsmMupxUlM', 'desc': ''}}
2021-04-05 15:36:11:0651 | basi_api line:23 send_http |INFO | 响应结果：{'id': 822, 'create_time': '2021-04-05T15:35:53.758190+08:00', 'name': 'mebqU', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'xdRIUMDGjzHxDXuXTrqkUccSAFmNjwaldmpabFNDYxiDbeggGBZwknQPNkdTjhpXwPGUQjdtJRVXhRTUDlrJGYkDxIVsmMupxUlM', 'desc': ''}
2021-04-05 15:36:11:0661 | test_05_projects line:57 test_add_project |INFO | 简要描述为空_创建项目成功 测试案例执行通过！

2021-04-05 15:36:11:0711 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:11:2267 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:11:2277 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：项目名称已存在创建创建_创建项目失败
2021-04-05 15:36:11:4491 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTMsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.S3-ppp3o1lzLJnbboGZR--yYkvLmCRpSvEKQeJ0CTwM'}, 'json': {'name': 'mebqU', 'leader': 'fKhSVSCHklZGIUNyzmHGmlrnmzspoqCjNVoZWVMtMiofxcHTkK', 'tester': 'bcoqTzezEwjxxzyXUjNpoJWBkjgcSLTOQOYsSnWdWhmRwOrThl', 'programmer': 'zpvDntggKeBjaYOpXoDTVCubIjwMpjKDQMDCNoWAzvmbgfgdAe', 'publish_app': 'tbbxBArgPqmeoNHqVMTxmzYFBagYNkOUPRFyzxjEhpctXFZpcqcUeKSDeHXePVSANyPAuxWYncbBoRGXilqiHnIpgXuOTQPYhxxB'}}
2021-04-05 15:36:11:4830 | basi_api line:23 send_http |INFO | 响应结果：{'name': ['具有 项目名称 的 项目信息 已存在。']}
2021-04-05 15:36:11:4840 | test_05_projects line:57 test_add_project |INFO | 项目名称已存在创建创建_创建项目失败 测试案例执行通过！

2021-04-05 15:36:11:4890 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:11:6346 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTQsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.DCdSEIl5IyASj3e7L2Za9rgEe9RaW7aDwLUc767ePqE', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:11:6366 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：项目名称为空_创建项目失败
2021-04-05 15:36:11:7922 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTQsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.DCdSEIl5IyASj3e7L2Za9rgEe9RaW7aDwLUc767ePqE'}, 'json': {'name': '', 'leader': 'rnaYCvDgjeAXskiQdjCeKFRHoLIOYgyEJbJAaicTjaArtqmtWG', 'tester': 'ONKUyVFKeaqbwxNKYKhFksqOQCZfgBBUqzMcxMYXJFsUCETUcf', 'programmer': 'tVagOBtgQQcgGaKWXmKzmbimiTNobOfymBdsPViozrDXYySzLX', 'publish_app': 'dKNSbhbCGYnUyupdIswpgEKEJcVROkbJksqaohyHstTmTWrsJxTOiyfCIWoZlfUrTyAeAMENVwDoIOpoJmexQXjOJsCWIFjuuYBE'}}
2021-04-05 15:36:11:8191 | basi_api line:23 send_http |INFO | 响应结果：{'name': ['该字段不能为空。']}
2021-04-05 15:36:11:8191 | test_05_projects line:57 test_add_project |INFO | 项目名称为空_创建项目失败 测试案例执行通过！

2021-04-05 15:36:11:8261 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:11:9727 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTQsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.DCdSEIl5IyASj3e7L2Za9rgEe9RaW7aDwLUc767ePqE', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:11:9737 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：项目名称为纯空格字符_创建项目失败
2021-04-05 15:36:12:1123 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTQsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.DCdSEIl5IyASj3e7L2Za9rgEe9RaW7aDwLUc767ePqE'}, 'json': {'name': '', 'leader': 'jhzaaSVCIyBTSICcJoxpyMymoTNVCFjkXyQHGQPDDYxPNLtBhn', 'tester': 'zGBNQZGSYBFQFpNWsGUFoZMYCHwmHXaRYqoSRFkUfqrFefqrdv', 'programmer': 'XaCuEVDzuWnDSDOQqCPNRXXMAbCIDguqhxvyCTSMGtzPXUoqUN', 'publish_app': 'ZMYruZffjIfmiuEOnTcWAEhewEzInRVhfdfbctrwlvchcKrKPhGGKpgGKCBvFMLEhgUJLcUcccZQiCeJcazDQGYwSeePSxgcyXgy'}}
2021-04-05 15:36:12:1861 | basi_api line:23 send_http |INFO | 响应结果：{'name': ['该字段不能为空。']}
2021-04-05 15:36:12:1871 | test_05_projects line:57 test_add_project |INFO | 项目名称为纯空格字符_创建项目失败 测试案例执行通过！

2021-04-05 15:36:12:1921 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:36:12:3457 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQ1NTUsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.GgVmzQL3mAZwtHh68pldb6l7xJ_E8nofC5s0JjRhCl0', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:36:12:3477 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：项目名称长度>200_创建项目失败
